ID,Planting,Month,Treatment,Species,Number of seeds intact,Number of damaged seeds,Evidence of damaged seeds?,Notes
1,L,July,Rodents and Inverts,ANGE,8,1,half eaten seed,
2,L,July,Rodents and Inverts,DAPU,8,,,
3,L,July,Rodents and Inverts,ELCA,7,1,eaten seed shell left,
4,L,July,Rodents and Inverts,HEDI,8,,,
5,L,July,Rodents and Inverts,LOMA,7,1,half eaten seed,
6,L,July,Rodents and Inverts,LOCO,7,,,
7,L,July,Rodents and Inverts,TRRE,7,1,half eaten seed,
8,L,July,Inverts,ANGE,0,,,
9,L,July,Inverts,DAPU,0,,,
10,L,July,Inverts,ELCA,0,,,
11,L,July,Inverts,HEDI,0,1,half eaten,
12,L,July,Inverts,LOMA,0,,,
13,L,July,Inverts,LOCO,0,,,
14,CCE,July,Rodents and Inverts,ANGE,6,1,half eaten,
15,CCE,July,Rodents and Inverts,DAPU,8,,,
16,CCE,July,Rodents and Inverts,ELCA,4,,,
17,CCE,July,Rodents and Inverts,HEDI,8,,,a bunch of other what look like half eaten seeds but they can't be because that is too many
18,CCE,July,Rodents and Inverts,LOMA,6,,,
19,CCE,July,Rodents and Inverts,LOCO,6,,,
20,CCE,July,Rodents and Inverts,TRRE,3,,,
21,CCE,July,Inverts,ANGE,8,,,hard to differentiate with the other grass
22,CCE,July,Inverts,DAPU,6,,,
23,CCE,July,Inverts,ELCA,8,,,hard to differentiate with the other grass
24,CCE,July,Inverts,HEDI,8,,,
25,CCE,July,Inverts,LOMA,7,,,
26,CCE,July,Inverts,LOCO,7,,,
27,CCE,July,Inverts,TRRE,8,,,
28,CCEE,July,Rodents and Inverts,ANGE,6,,,
29,CCEE,July,Rodents and Inverts,DAPU,6,,,
30,CCEE,July,Rodents and Inverts,ELCA,6,,,
31,CCEE,July,Rodents and Inverts,HEDI,7,,,
32,CCEE,July,Rodents and Inverts,LOMA,7,,,
33,CCEE,July,Rodents and Inverts,LOCO,6,,,
34,CCEE,July,Rodents and Inverts,TRRE,6,,,
35,CCEE,July,Inverts,ANGE,4,,,
36,CCEE,July,Inverts,DAPU,6,,,
37,CCEE,July,Inverts,ELCA,8,2,half eaten,1 odd seed didn't add it into the count
38,CCEE,July,Inverts,HEDI,8,1,half eaten,
39,CCEE,July,Inverts,LOMA,2,,,
40,CCEE,July,Inverts,LOCO,6,,,
41,CCEE,July,Inverts,TRRE,2,,,
42,CCW,July,Rodents and Inverts,ANGE,8,,,
43,CCW,July,Rodents and Inverts,DAPU,6,1,half eaten,
44,CCW,July,Rodents and Inverts,ELCA,8,,,
45,CCW,July,Rodents and Inverts,HEDI,8,,,
46,CCW,July,Rodents and Inverts,LOMA,8,,,
47,CCW,July,Rodents and Inverts,LOCO,7,,,
48,CCW,July,Rodents and Inverts,TRRE,8,,,
49,CCW,July,Inverts,ANGE,0,,,
50,CCW,July,Inverts,DAPU,5,,,these are sprouted so they din't look right but I counted them
51,CCW,July,Inverts,ELCA,5,2,half eaten,
52,CCW,July,Inverts,HEDI,6,,,
53,CCW,July,Inverts,LOMA,8,,,
54,CCW,July,Inverts,LOCO,2,,,
55,CCW,July,Inverts,TRRE,1,1,,"both really rough, one is completely covered in mold "
56,CCWE,July,Rodents and Inverts,ANGE,7,,,
57,CCWE,July,Rodents and Inverts,DAPU,7,,,
58,CCWE,July,Rodents and Inverts,ELCA,8,,,
59,CCWE,July,Rodents and Inverts,HEDI,8,,,
60,CCWE,July,Rodents and Inverts,LOMA,8,,,
61,CCWE,July,Rodents and Inverts,LOCO,7,,,
62,CCWE,July,Rodents and Inverts,TRRE,7,,,
63,CCWE,July,Inverts,ANGE,4,,,
64,CCWE,July,Inverts,DAPU,3,,moldy- hard to tell for sure it is this species,
65,CCWE,July,Inverts,ELCA,7,,,
66,CCWE,July,Inverts,HEDI,8,,,
67,CCWE,July,Inverts,LOMA,6,1,half eaten,
68,CCWE,July,Inverts,LOCO,3,1,half eaten,
69,CCWE,July,Inverts,TRRE,3,,very moldy hard to tell the species,
70,FC,July,Rodents and Inverts,ANGE,8,,,
71,FC,July,Rodents and Inverts,DAPU,5,,,
72,FC,July,Rodents and Inverts,ELCA,8,,,
73,FC,July,Rodents and Inverts,HEDI,6,,,
74,FC,July,Rodents and Inverts,LOMA,8,,,
75,FC,July,Rodents and Inverts,LOCO,5,,,
76,FC,July,Rodents and Inverts,TRRE,6,,,
77,FC,July,Inverts,ANGE,9,,,
78,FC,July,Inverts,DAPU,5,3,"I think 2 of these rotten apart, they disintigrated when I looked at them.",
79,FC,July,Inverts,ELCA,8,,,
80,FC,July,Inverts,HEDI,8,,,
81,FC,July,Inverts,LOMA,8,,,
82,FC,July,Inverts,LOCO,5,,,
83,FC,July,Inverts,TRRE,5,1,half eaten,some of the rotten DAPU could be these
84,HF,July,Rodents and Inverts,ANGE,8,,,
85,HF,July,Rodents and Inverts,DAPU,0,,,
86,HF,July,Rodents and Inverts,ELCA,8,,,
