date,time,temp,weather,planting,yr_restored,burn_stat,trap_num,tag_num,capture_type,species,sex,age,female_cond,Weight_g,tl_mm,rhf_mm,bl_mm,notes,Initials
5/4/2024,7:17AM,49,sunny,HF,2013,B,A5,1366,N,P.man,F,A,L,28,52,16,60,9g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,HF,2013,B,E5,,TNC,,,,,,,,,,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,HF,2013,B,C2,1383,N,P.man,M,A,,29,52,16,58,10g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,HF,2013,B,E1,1399,N,P.man,F,A,L,27,52,15,53,11g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,SB,2009,B,A1,1379,N,P.man,M,SA,,30,51,16,57,16g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,SBEE,2009,B,D5,,TNC,,,,,,,,,,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,SBEE,2009,B,D1,,TNC,,,,,,,,,,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,SBEE,2009,B,D2,1446,N,P.man,F,A,,26,51,16,56,9g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,SBEE,2009,B,A1,1468,N,P.man,F,A,P,34,48,15,58,14g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,TC,2002.5,NB,C2,1435,N,P.man,F,A,P,26,56,14,57,10g,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,TCE,2002.5,NB,B3,,TNC,,,,,,,,,,"LS, JW, AP, TL"
5/4/2024,7:17AM,49,sunny,TCE,2002.5,NB,D2,1444,N,P.leu,F,A,L,27,31,18,58,"9g, tail bobbed","LS, JW, AP, TL"
5/5/2024,7:00AM,,,HF,2013,B,A5,1366,R,P.man,F,A,L,30,52,16,60,10g,"LS, AS, JW"
5/5/2024,7:00AM,,,HF,2013,B,A3,,TNC,,,,,,,,,,"LS, AS, JW"
5/5/2024,7:00AM,,,HF,2013,B,A1,1415,N,P.man,F,A,P,26,48,16,52,10g,"LS, AS, JW"
5/5/2024,7:00AM,,,HF,2013,B,C1,1399,R,P.man,F,A,L,26,52,15,53,10g,"LS, AS, JW"
