date,time,temp,weather,planting,yr_restored,burn_stat,trap_num,tag_num,capture_type,species,sex,age,female_cond,Weight_g,tl_mm,rhf_mm,bl_mm,notes,Initials
6/1/2013,7:05AM,63,Overcast,HL,2001,B,C1,,TNC,,,,,,,,,,
6/1/2013,6:02AM,63,Overcast,HPN,2012,B,B3,,TNC,,,,,,,,,,
6/1/2013,6:02AM,63,Overcast,HPN,2012,B,D5,1074,N,P.man,F,A,P,30,53,16,,,
6/1/2013,6:02AM,63,Overcast,HPN,2012,B,B4,1075,N,P.man,F,A,,25,54,15,,,
6/1/2013,6:02AM,63,Overcast,HPN,2012,B,A3,1099,N,P.leu,M,SA,,19,56,21,,,
6/1/2013,6:02AM,63,Overcast,HPN,2012,B,E4,1100,N,P.man,M,SA,,20,53,19.5,,,
6/1/2013,6:36AM,63,Overcast,HPW,2008,B,A1,1049,N,P.man,F,A,,24,51,16,,,
6/1/2013,6:36AM,63,Overcast,HPW,2008,B,E1,1071,N,P.man,M,A,,23,53,15.5,,,
6/1/2013,6:36AM,63,Overcast,HPW,2008,B,B3,1072,N,P.man,M,SA,,18,50,17,,,
6/1/2013,6:36AM,63,Overcast,HPW,2008,B,A5,1073,N,P.man,F,SA,,25,46,16,,,
6/1/2013,7:15AM,63,Overcast,L,2011,B,B5,,TNC,,,,,,,,,,
6/1/2013,7:15AM,63,Overcast,L,2011,B,A1,,TNC,,,,,,,,,,
6/1/2013,7:15AM,63,Overcast,L,2011,B,E3,1070,N,P.man,F,SA,,21,52,15,,,
6/1/2013,7:35AM,63,Overcast,SF,2001,B,C1,1098,N,P.man,F,A,P,26,60,16,,,
6/2/2013,7:20AM,60,"Windy, overcast",HL,2001,B,B2,1055,N,P.man,M,SA,,28,46,15,,,
6/2/2013,7:20AM,60,"Windy, overcast",HL,2001,B,E4,1093,N,P.man,F,SA,,30,52,15,,,
6/2/2013,7:20AM,60,"Windy, overcast",HL,2001,B,C1,1094,N,P.man,F,SA,,28,51,16,,,
6/2/2013,6:17AM,60,"Windy, overcast",HPN,2012,B,C3,,TNC,,,,,,,,,,
6/2/2013,6:17AM,60,"Windy, overcast",HPN,2012,B,A3,1074,R,P.man,F,A,P,30,53,16,,,
6/2/2013,6:17AM,60,"Windy, overcast",HPN,2012,B,B4,1075,R,P.man,F,A,,25,54,15,,,
6/2/2013,6:17AM,60,"Windy, overcast",HPN,2012,B,B3,1096,N,P.man,M,SA,,31,44,15,,,
6/2/2013,6:17AM,60,"Windy, overcast",HPN,2012,B,E4,1097,N,P.man,M,SA,,24.5,46,15,,Body length 47,
6/2/2013,6:17AM,60,"Windy, overcast",HPN,2012,B,B5,1100,R,P.man,M,SA,,20,53,19.5,,,
6/2/2013,6:53AM,60,"Windy, overcast",HPW,2008,B,C1,1049,R,P.man,F,A,,24,51,16,,,
6/2/2013,6:53AM,60,"Windy, overcast",HPW,2008,B,B3,1071,R,P.man,M,A,,23,53,15.5,,,
6/2/2013,6:53AM,60,"Windy, overcast",HPW,2008,B,A5,1073,R,P.man,F,SA,,25,46,16,,,
6/2/2013,7:50AM,60,"Windy, overcast",L,2011,B,A4,1004,N,P.man,M,A,,33,52,16,,,
6/2/2013,7:50AM,60,"Windy, overcast",L,2011,B,E5,1006,N,P.man,F,SA,,36,50.5,14.5,,,
6/2/2013,7:50AM,60,"Windy, overcast",L,2011,B,D3,1020,N,P.man,F,A,P,35.5,53,16,,,
6/2/2013,8:25AM,60,"Windy, overcast",SF,2001,B,E4,,TNC,,,,,,,,,,
6/2/2013,8:25AM,60,"Windy, overcast",SF,2001,B,B1,1056,N,P.man,F,A,P,36,53,15,,,
6/2/2013,8:25AM,60,"Windy, overcast",SF,2001,B,C5,1065,N,P.man,M,SA,,26,45,15,,,
6/3/2013,7:05AM,44,Foggy/sun,FC,2006.5,NB,,,No Captures,,,,,,,,,,
